id,order_id,product_id,quantity,unit_price,subtotal
caba5124-adb7-4bf8-8ac8-c80725e9b997,e0fef39d-7e5f-4472-8421-4543cfde2fb8,63beffb6-3600-436c-9b36-ab5f0632b76f,1,18000,18000
03d5912e-3b24-4d12-94f4-d8b85ce6d1f4,e0fef39d-7e5f-4472-8421-4543cfde2fb8,fe2f36a8-af28-42dd-9780-08a30408647a,1,22000,22000
b6f0fc43-dfe7-4763-8995-b75c8eae31a3,28f0dc59-3629-4ed3-af19-495680563e6c,04e16a79-0f5a-4c70-9f0a-9a3795cef656,1,38000,38000
9a182749-7bae-482c-bf27-aaa7a5960036,28f0dc59-3629-4ed3-af19-495680563e6c,0ffb48e0-d66c-4853-a822-4bac813a5403,1,30000,30000
6e8f51e9-eb0b-40fe-80e4-c1ad1c14950b,00edca3e-4364-4097-be62-c37c81fa19b6,ec705f3e-b67b-4ce9-858e-59ab201b5106,1,37000,37000
bb6dc7d0-d034-4464-af48-deeb17ea358c,00edca3e-4364-4097-be62-c37c81fa19b6,f0694b21-9373-4e61-90e3-ed66ad4bcdf9,2,52000,104000
987f2d21-bf4e-4a4d-b0fa-f2f7b0a91212,61b40e3c-8343-4538-b1af-21e757697914,2573cc11-d794-4e9c-97ed-f570513cc175,1,26000,26000
7d73028a-5762-4d2a-9a70-1be20ca86447,371b37c6-0703-44f1-b8f7-a1d21205290b,198dd8f4-a3c9-4870-afa4-ea27557b9681,1,24000,24000
5be6a16c-bfe5-42dc-a8fe-064f93617b0a,371b37c6-0703-44f1-b8f7-a1d21205290b,35abdb91-c3f9-4459-a920-79a1c41ab9dd,1,23400,23400
6391f301-40b8-41eb-ac89-20ef507da47f,0ad6c92d-5512-48a3-85cf-089582feabda,dc1302e9-d407-45bb-82a3-aef9b723587f,3,23900,71700
f317a90a-3a2a-46f5-a800-619140a32a33,36f4f961-9f6c-481f-aff8-b8ad27ca59a4,121e4cf0-3c17-45f6-aee6-bd9cb999e444,1,39000,39000
53fd5b46-6e8b-4aa5-99dc-b852985f746b,36f4f961-9f6c-481f-aff8-b8ad27ca59a4,f745b8b4-fc08-40a0-ba13-286b1fbc2a99,1,28500,28500
1ee77ac8-0a4d-4807-a93f-3bfa69272c0d,36f4f961-9f6c-481f-aff8-b8ad27ca59a4,f0694b21-9373-4e61-90e3-ed66ad4bcdf9,1,52000,52000
39bf1711-70f7-4487-8510-8a85c1b30082,fed525e9-f807-4aa4-b3f7-60a4738ec571,35abdb91-c3f9-4459-a920-79a1c41ab9dd,1,23400,23400
e45f2cd3-de12-4f79-8aa8-d0f18c77bfda,fed525e9-f807-4aa4-b3f7-60a4738ec571,924a1c0e-27e5-490f-8d95-46d972f27eac,2,19000,38000
d20246be-4fcf-4b39-a382-f9ed42715485,98ef5035-6f8b-4241-b7df-a8fd08c356fb,188707c9-8cea-49a5-bf9d-6bb36f32e507,2,49000,98000
3bafec24-4731-4155-aa41-a194d7ec6920,77bf5c1d-ecea-4241-9d5f-7e25cc38317b,b14b8641-d673-4dc6-9f64-cf945c91c0c2,1,28000,28000
972e14a3-008e-4bab-99b7-68df5e70d3d4,0d09ba75-9ff4-4f50-857a-d2f311fc1058,d2ba5453-1ab8-49df-9667-cc9e7cf0426b,2,36000,72000
5467f563-4b27-45ed-b5ae-b9342475b740,0d09ba75-9ff4-4f50-857a-d2f311fc1058,e364f414-5c33-4d38-b3a5-d69fdb379af7,1,39000,39000
