id,user_id,order_number,status,total_amount,discount_amount,shipping_fee,shipping_address,coupon_code,utm_source,utm_medium,utm_campaign,ordered_at,created_at
e0fef39d-7e5f-4472-8421-4543cfde2fb8,5c71dd45-30db-4b8f-8291-18e742bc2719,LUNA-20260327-0001,paid,43000,0,3000,"{""city"": ""부산광역시"", ""zipcode"": ""22010""}",,,,,2026-03-27T14:28:07.821919+09:00,2026-03-27T14:28:07.821919+09:00
28f0dc59-3629-4ed3-af19-495680563e6c,aef784a3-286c-4a5d-a4ac-389039bcb968,LUNA-20260327-0002,paid,61200,6800,0,"{""city"": ""전라북도"", ""zipcode"": ""21722""}",WELCOME10,naver,blog,review_campaign,2026-03-27T19:58:33.581181+09:00,2026-03-27T19:58:33.581181+09:00
00edca3e-4364-4097-be62-c37c81fa19b6,aef784a3-286c-4a5d-a4ac-389039bcb968,LUNA-20260316-0001,paid,141000,0,0,"{""city"": ""인천광역시"", ""zipcode"": ""45593""}",,naver,blog,review_campaign,2026-03-16T01:06:20.393552+09:00,2026-03-16T01:06:20.393552+09:00
61b40e3c-8343-4538-b1af-21e757697914,de6197b7-a290-47ee-9c34-caabdcda0f7a,LUNA-20260326-0001,paid,29000,0,3000,"{""city"": ""전라남도"", ""zipcode"": ""66189""}",,kakao,cpc,spring_sale,2026-03-26T19:47:03.392931+09:00,2026-03-26T19:47:03.392931+09:00
371b37c6-0703-44f1-b8f7-a1d21205290b,77c945fc-0d68-4fb1-ab02-af10d63bc972,LUNA-20260321-0001,paid,45660,4740,3000,"{""city"": ""서울특별시"", ""zipcode"": ""37052""}",WELCOME10,kakao,cpc,spring_sale,2026-03-21T10:23:43.848359+09:00,2026-03-21T10:23:43.848359+09:00
0ad6c92d-5512-48a3-85cf-089582feabda,77c945fc-0d68-4fb1-ab02-af10d63bc972,LUNA-20260223-0001,delivered,71700,0,0,"{""city"": ""전라북도"", ""zipcode"": ""35100""}",,kakao,cpc,spring_sale,2026-02-23T22:07:59.948610+09:00,2026-02-23T22:07:59.948610+09:00
36f4f961-9f6c-481f-aff8-b8ad27ca59a4,77c945fc-0d68-4fb1-ab02-af10d63bc972,LUNA-20260223-0002,paid,114500,5000,0,"{""city"": ""경상남도"", ""zipcode"": ""62776""}",LUNA5000,google,organic,,2026-02-23T11:42:16.681977+09:00,2026-02-23T11:42:16.681977+09:00
fed525e9-f807-4aa4-b3f7-60a4738ec571,77c945fc-0d68-4fb1-ab02-af10d63bc972,LUNA-20260303-0001,paid,61400,0,0,"{""city"": ""세종특별자치시"", ""zipcode"": ""72565""}",,kakao,cpc,spring_sale,2026-03-03T19:02:44.552229+09:00,2026-03-03T19:02:44.552229+09:00
98ef5035-6f8b-4241-b7df-a8fd08c356fb,77c945fc-0d68-4fb1-ab02-af10d63bc972,LUNA-20260320-0001,cancelled,98000,0,0,"{""city"": ""경상남도"", ""zipcode"": ""02461""}",,kakao,cpc,spring_sale,2026-03-20T12:54:36.124465+09:00,2026-03-20T12:54:36.124465+09:00
77bf5c1d-ecea-4241-9d5f-7e25cc38317b,77c945fc-0d68-4fb1-ab02-af10d63bc972,LUNA-20260301-0001,delivered,31000,0,3000,"{""city"": ""충청남도"", ""zipcode"": ""52023""}",,kakao,cpc,spring_sale,2026-03-01T03:30:06.071410+09:00,2026-03-01T03:30:06.071410+09:00
0d09ba75-9ff4-4f50-857a-d2f311fc1058,77c945fc-0d68-4fb1-ab02-af10d63bc972,LUNA-20260310-0001,paid,181800,0,0,"{""city"": ""대구광역시"", ""zipcode"": ""43260""}",,kakao,cpc,spring_sale,2026-03-10T18:02:42.637192+09:00,2026-03-10T18:02:42.637192+09:00
440d8167-7b14-40e9-9c03-8b7e2bd39650,77c945fc-0d68-4fb1-ab02-af10d63bc972,LUNA-20260329-0001,paid,70200,7800,0,"{""city"": ""대전광역시"", ""zipcode"": ""55955""}",WELCOME10,kakao,cpc,spring_sale,2026-03-29T11:40:12.671921+09:00,2026-03-29T11:40:12.671921+09:00
9d41302e-34d5-4af3-a7d7-f81918ea7764,77c945fc-0d68-4fb1-ab02-af10d63bc972,LUNA-20260309-0001,paid,201420,22380,0,"{""city"": ""전라북도"", ""zipcode"": ""17833""}",WELCOME10,naver,organic,,2026-03-09T18:10:46.822438+09:00,2026-03-09T18:10:46.822438+09:00
0a5e4de8-ff4e-48f9-b171-29e28a96450b,5cc023a0-6781-4e02-a7ac-d85ca70019d8,LUNA-20251010-0001,paid,93800,0,0,"{""city"": ""전라남도"", ""zipcode"": ""58486""}",,instagram,social,brand_awareness,2025-10-10T13:09:18.193072+09:00,2025-10-10T13:09:18.193072+09:00
f03002b7-2c2b-4b56-833d-4a18575fb8b0,5cc023a0-6781-4e02-a7ac-d85ca70019d8,LUNA-20260201-0001,paid,134000,0,0,"{""city"": ""울산광역시"", ""zipcode"": ""60798""}",,instagram,social,brand_awareness,2026-02-01T11:25:08.103000+09:00,2026-02-01T11:25:08.103000+09:00
8d7363eb-6afd-4f8a-ab6d-1f757383b9bb,2d2f5aad-26df-46a2-9535-c5a9bd8d45c1,LUNA-20260323-0001,paid,94000,0,0,"{""city"": ""경상북도"", ""zipcode"": ""87045""}",,naver,organic,,2026-03-23T11:55:46.667890+09:00,2026-03-23T11:55:46.667890+09:00
9c7ad8dd-41eb-4994-bb01-4980e5c30da2,2d2f5aad-26df-46a2-9535-c5a9bd8d45c1,LUNA-20260329-0002,paid,80600,0,0,"{""city"": ""대구광역시"", ""zipcode"": ""69176""}",,naver,organic,,2026-03-29T06:13:21.006490+09:00,2026-03-29T06:13:21.006490+09:00
24e5d808-33d5-468e-ac41-473603e8c3a1,2d2f5aad-26df-46a2-9535-c5a9bd8d45c1,LUNA-20260328-0001,paid,49000,0,3000,"{""city"": ""경기도"", ""zipcode"": ""99359""}",,naver,organic,,2026-03-28T20:09:26.857484+09:00,2026-03-28T20:09:26.857484+09:00
1603ddfc-7241-4e32-b8d5-fa2f13e9bde3,d734378e-7c6e-423b-8a12-a9dcd2d7fe6b,LUNA-20250714-0001,delivered,76300,0,0,"{""city"": ""대전광역시"", ""zipcode"": ""74403""}",,google,organic,,2025-07-14T21:03:21.441488+09:00,2025-07-14T21:03:21.441488+09:00
6b44f802-0c08-48fb-8512-18b15bd8f6df,d734378e-7c6e-423b-8a12-a9dcd2d7fe6b,LUNA-20250910-0001,paid,92000,0,0,"{""city"": ""세종특별자치시"", ""zipcode"": ""64083""}",,google,organic,,2025-09-10T17:57:56.996843+09:00,2025-09-10T17:57:56.996843+09:00
d1fa8c31-898c-4862-a8c0-22ca1233793a,a67aff02-627d-4213-b73f-86f12de0c87e,LUNA-20260329-0003,paid,72000,0,0,"{""city"": ""대전광역시"", ""zipcode"": ""37360""}",,instagram,social,brand_awareness,2026-03-29T10:28:06.822044+09:00,2026-03-29T10:28:06.822044+09:00
794f0df7-0fc7-4217-907c-4b1bb68288c6,56d9826e-7e5e-4418-a6b6-9dd1051c8171,LUNA-20260306-0001,paid,75600,8400,0,"{""city"": ""대구광역시"", ""zipcode"": ""01488""}",WELCOME10,instagram,social,brand_awareness,2026-03-06T16:42:36.600638+09:00,2026-03-06T16:42:36.600638+09:00
44e4df87-7b16-45c5-bd8b-45535a4ca3e7,8c67ee37-f94a-4dec-9375-10109b63e070,LUNA-20260329-0004,cancelled,80000,0,0,"{""city"": ""세종특별자치시"", ""zipcode"": ""08490""}",,google,organic,,2026-03-29T19:18:45.721788+09:00,2026-03-29T19:18:45.721788+09:00
f355794c-8089-466e-a330-4455281e7585,e77c6045-095e-4e9b-9e32-85478a9c18fc,LUNA-20250925-0001,paid,36000,0,3000,"{""city"": ""세종특별자치시"", ""zipcode"": ""93884""}",,instagram,social,brand_awareness,2025-09-25T17:58:01.101189+09:00,2025-09-25T17:58:01.101189+09:00
840bdbfb-29f5-407d-a1c2-1c0d32982ebe,a6158ce1-733b-4684-b9bf-f10038fc6746,LUNA-20260106-0001,paid,182000,0,0,"{""city"": ""충청남도"", ""zipcode"": ""36852""}",,instagram,social,brand_awareness,2026-01-06T17:08:55.659641+09:00,2026-01-06T17:08:55.659641+09:00
