id,product_id,change_type,quantity_change,quantity_after,reason,created_at
3f46f2cb-b95a-4563-85aa-b2ed0dbc5648,72036044-0715-4f89-9287-9a0779c5b2fb,inbound,189,189,초기 입고,2025-04-01T00:00:00+09:00
f4765571-410a-45c0-b448-f22c406d2e90,72036044-0715-4f89-9287-9a0779c5b2fb,sale,-1,188,주문 판매,2026-01-06T11:24:27.995405+09:00
e3314199-79b5-4162-9676-388b712f8bfa,72036044-0715-4f89-9287-9a0779c5b2fb,sale,-2,186,주문 판매,2025-12-16T23:54:15.225591+09:00
864fce38-d201-47a1-b9d5-ca5630dd250b,72036044-0715-4f89-9287-9a0779c5b2fb,sale,-1,185,주문 판매,2025-11-29T19:28:42.505420+09:00
866fe94a-5174-4b9e-bf06-de01939acda0,72036044-0715-4f89-9287-9a0779c5b2fb,sale,-1,184,주문 판매,2025-10-21T13:24:54.508178+09:00
5236d31a-2728-44d4-b307-01f3c11ed072,72036044-0715-4f89-9287-9a0779c5b2fb,sale,-1,183,주문 판매,2026-03-30T10:08:18.427860+09:00
075e696d-2c82-4b14-ab4f-308de0c568d6,72036044-0715-4f89-9287-9a0779c5b2fb,sale,-1,182,주문 판매,2026-03-28T16:48:20.545048+09:00
ba375afc-8ddc-403b-b742-3dd1cc950701,72036044-0715-4f89-9287-9a0779c5b2fb,sale,-1,181,주문 판매,2025-12-30T21:26:16.157658+09:00
c2e6c647-9819-4828-9bbc-de297f8f18e1,72036044-0715-4f89-9287-9a0779c5b2fb,sale,-2,179,주문 판매,2026-01-25T13:41:33.821096+09:00
a3b6c907-ed73-48e4-af75-4c037125be53,72036044-0715-4f89-9287-9a0779c5b2fb,sale,-1,178,주문 판매,2025-11-30T12:01:32.060727+09:00
3e3cf41c-3f4f-4c80-860c-69766089a14b,72036044-0715-4f89-9287-9a0779c5b2fb,sale,-1,177,주문 판매,2025-07-29T16:31:23.563755+09:00
424dd646-865a-4f84-8869-41279354228d,72036044-0715-4f89-9287-9a0779c5b2fb,sale,-1,176,주문 판매,2026-03-01T21:39:38.988318+09:00
119fc1ba-81ff-4dde-b939-7a613dfdd496,72036044-0715-4f89-9287-9a0779c5b2fb,sale,-1,175,주문 판매,2026-03-20T21:02:56.938704+09:00
8f44c186-4d59-4e40-8f4d-fa6f70f0ccc5,72036044-0715-4f89-9287-9a0779c5b2fb,sale,-3,172,주문 판매,2025-09-06T11:27:46.727446+09:00
7be579d0-57e3-4973-bb42-c9a3c7ad940d,72036044-0715-4f89-9287-9a0779c5b2fb,sale,-1,171,주문 판매,2025-11-01T12:20:49.343736+09:00
5f528f1b-7dc6-44e8-a0e4-106472f30474,72036044-0715-4f89-9287-9a0779c5b2fb,sale,-1,170,주문 판매,2026-03-29T10:50:42.909164+09:00
0c49e874-88fb-44ae-bfd1-b3771afb348c,72036044-0715-4f89-9287-9a0779c5b2fb,sale,-1,169,주문 판매,2025-12-31T14:23:36.220925+09:00
7f8fe8a6-9d75-4768-bd9d-e2b0c763c070,72036044-0715-4f89-9287-9a0779c5b2fb,sale,-2,167,주문 판매,2025-08-03T03:20:14.865017+09:00
cf99189b-a1fb-48f4-af25-e745a129f731,72036044-0715-4f89-9287-9a0779c5b2fb,sale,-1,166,주문 판매,2026-03-02T11:31:51.294457+09:00
22c25221-8c27-498a-a683-5e65d47fac63,72036044-0715-4f89-9287-9a0779c5b2fb,sale,-2,164,주문 판매,2026-03-06T11:43:17.312862+09:00
