session_id,user_id,utm_source,utm_medium,utm_campaign,device_type,referrer,id,event_name,event_params,page_path,created_at
sess_6d45a7ff-787_1,70543d63-93e1-40a3-9ea0-9e950b6f53e2,naver,blog,review_campaign,desktop,https://blog.naver.com,528d9156-8d91-4c5a-a92f-8a7a087bae5c,session_start,"{""entry_page"": ""/""}",/,2026-03-14T20:48:56.661147+09:00
sess_6d45a7ff-787_1,70543d63-93e1-40a3-9ea0-9e950b6f53e2,naver,blog,review_campaign,desktop,https://blog.naver.com,2bca57ae-4574-4bdc-a410-264f43aab6c2,page_view,"{""page_title"": ""LUNA - 비건 스킨케어""}",/,2026-03-14T20:48:59.661147+09:00
sess_6d45a7ff-787_1,70543d63-93e1-40a3-9ea0-9e950b6f53e2,naver,blog,review_campaign,desktop,https://blog.naver.com,772af173-51ab-4f76-ab61-bb23fc0db1f4,product_list_view,"{""category"": ""serum""}",/products,2026-03-14T20:49:10.661147+09:00
sess_ab4fdf16-3cd_2,2d133e06-aef0-4d6b-b928-e505bbd90302,google,organic,,mobile,https://www.google.com,535e7362-6a99-4eb3-9330-ef54321bcc7d,session_start,"{""entry_page"": ""/""}",/,2025-11-10T17:01:09.886388+09:00
sess_ab4fdf16-3cd_2,2d133e06-aef0-4d6b-b928-e505bbd90302,google,organic,,mobile,https://www.google.com,f8aae0dc-e13a-4eed-a001-c8f89a7fb99e,page_view,"{""page_title"": ""LUNA - 비건 스킨케어""}",/,2025-11-10T17:01:10.886388+09:00
sess_ab4fdf16-3cd_2,2d133e06-aef0-4d6b-b928-e505bbd90302,google,organic,,mobile,https://www.google.com,820a4513-c2b3-460a-8c48-92df394399c1,product_list_view,"{""category"": ""toner""}",/products,2025-11-10T17:01:28.886388+09:00
sess_56b2c5a7-184_3,,instagram,social,brand_awareness,mobile,https://www.instagram.com,5a3e65c1-c90b-448c-8f13-569531884d3e,session_start,"{""entry_page"": ""/""}",/,2025-08-08T12:04:02.041053+09:00
sess_56b2c5a7-184_3,,instagram,social,brand_awareness,mobile,https://www.instagram.com,a639508d-30f3-48a4-bf95-36e0edec17df,page_view,"{""page_title"": ""LUNA - 비건 스킨케어""}",/,2025-08-08T12:04:03.041053+09:00
sess_56b2c5a7-184_3,,instagram,social,brand_awareness,mobile,https://www.instagram.com,e9b555a9-284c-4be2-8e06-9ed32939c7ed,product_view,"{""product_id"": ""04e16a79-0f5a-4c70-9f0a-9a3795cef656"", ""product_name"": ""알로에 수딩 젤 크림"", ""category"": ""크림"", ""price"": 38000, ""sale_price"": null}",/products/cream-09,2025-08-08T12:04:13.041053+09:00
sess_56b2c5a7-184_3,,instagram,social,brand_awareness,mobile,https://www.instagram.com,26421f18-8d98-44b0-a633-8c1bf444e7ce,add_to_cart,"{""product_id"": ""04e16a79-0f5a-4c70-9f0a-9a3795cef656"", ""product_name"": ""알로에 수딩 젤 크림"", ""quantity"": 1, ""price"": 38000}",/products/cream-09,2025-08-08T12:06:03.041053+09:00
sess_1427270b-500_4,c88d56e0-a3fc-4d47-92c1-e8d2023636e5,instagram,social,brand_awareness,mobile,https://www.instagram.com,d1d5208f-016f-4afc-9360-f96d13c9d2fd,session_start,"{""entry_page"": ""/""}",/,2025-05-11T15:55:52.162875+09:00
